author,tags,title
Albert Einstein,"/author/Albert-Einstein,/tag/change/page/1/,/tag/deep-thoughts/page/1/,/tag/thinking/page/1/,/tag/world/page/1/",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
J.K. Rowling,"/author/J-K-Rowling,/tag/abilities/page/1/,/tag/choices/page/1/","“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
Albert Einstein,"/author/Albert-Einstein,/tag/inspirational/page/1/,/tag/life/page/1/,/tag/live/page/1/,/tag/miracle/page/1/,/tag/miracles/page/1/",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
Jane Austen,"/author/Jane-Austen,/tag/aliteracy/page/1/,/tag/books/page/1/,/tag/classic/page/1/,/tag/humor/page/1/","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
Marilyn Monroe,"/author/Marilyn-Monroe,/tag/be-yourself/page/1/,/tag/inspirational/page/1/","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
Albert Einstein,"/author/Albert-Einstein,/tag/adulthood/page/1/,/tag/success/page/1/,/tag/value/page/1/",“Try not to become a man of success. Rather become a man of value.”
André Gide,"/author/Andre-Gide,/tag/life/page/1/,/tag/love/page/1/",“It is better to be hated for what you are than to be loved for what you are not.”
Thomas A. Edison,"/author/Thomas-A-Edison,/tag/edison/page/1/,/tag/failure/page/1/,/tag/inspirational/page/1/,/tag/paraphrased/page/1/","“I have not failed. I've just found 10,000 ways that won't work.”"
Eleanor Roosevelt,"/author/Eleanor-Roosevelt,/tag/misattributed-eleanor-roosevelt/page/1/",“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
Steve Martin,"/author/Steve-Martin,/tag/humor/page/1/,/tag/obvious/page/1/,/tag/simile/page/1/","“A day without sunshine is like, you know, night.”"
